time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.0688292534902846e-07,3.17513371212836e-08,10.003770781359588,3.7710309159777466e-05,0.0002021114661987511,0.0,-1.8364071842029022e-05,3.0839312537271977e-06,0.12568639236746093,0.001856889146245239,0.00937374976918935,0.0,444.8711785825057,445.63785823054855,444.61964642112514,444.77170956042613
0.12000000000000001,-8.735213528967843e-06,1.5478509658224e-06,10.017390064635014,7.939824417757535e-05,0.0009112771963390998,0.0,-0.0003408892122092024,5.65490766725474e-05,0.32825271336589534,-0.0017372430704107832,0.016309836783815583,0.0,467.35091531782246,467.8910012004907,469.2108879788389,468.93181274908807
0.18,-5.369144295262208e-05,6.204138417625203e-06,10.041939155868901,6.282884995361396,0.0016177983789553707,0.0,-0.0012535106427220507,7.409666518548492e-05,0.48999418328155653,-0.017611205424065753,0.0006673858597073873,0.0,456.3558805459242,455.10566893986163,457.31430093038716,456.04842767989066
0.23999999999999996,-0.00015857936340648074,1.5525239421625789e-06,10.07192387397921,6.281742382651686,0.001697294652633019,0.0,-0.002248152242709779,-0.00032805980542748015,0.5094876820989189,-0.022073944751766262,0.002608732893965836,0.0,410.78058835126774,410.95265041585714,410.9771002978302,410.5814289483579
0.3,-0.0003398642753306357,-6.301489295180995e-05,10.111366881047106,6.280290445284805,0.0022549550391435247,0.0,-0.0038445068449587732,-0.002005229520446312,0.8051179248018228,-0.028828672720950146,0.020112623565399043,0.0,494.5180014765758,495.80538145593357,495.90794773783307,495.4115914128454
0.36000000000000004,-0.0006147916696673432,-0.00024083670938002298,10.159877858391178,6.278362824472595,0.003441510739618181,0.0,-0.005425287785247046,-0.004082576300817726,0.8119089479547378,-0.03970867947451126,0.019093951172726473,0.0,407.44223751918184,407.3511722198163,406.95133936981847,405.97589841427043
0.4200000000000001,-0.0010135504000740574,-0.0005910970853804144,10.211004556005186,6.276298528514012,0.004368580078423889,0.0,-0.00797037320741705,-0.007811109107358016,0.8922529946110173,-0.025485389706904112,0.0069336425690347215,0.0,432.3315065912134,431.3057550692166,430.198938018438,431.4008632249552
0.48000000000000015,-0.0015792225772724283,-0.0011991857326126955,10.266316245614991,6.274489291706907,0.00557961967936027,0.0,-0.010971149942676164,-0.012616245395799617,0.9514206600284074,-0.041672601786228114,0.03842112874696786,0.0,423.5779697801303,426.276911085276,424.9205947132366,423.53043319819886
0.5400000000000001,-0.0023843853355858674,-0.002179802669082579,10.330161646254815,6.27199619073539,0.008076531518102392,0.0,-0.016156574989889642,-0.02037000915075977,1.1765501750090246,-0.04131100083019054,0.047338981758943736,0.0,474.3478615169656,475.03291156192137,477.0670021884756,477.09381556352173
0.6000000000000002,-0.0035200961882295287,-0.0036271778214023455,10.402421207596104,6.26922032992244,0.010992903880423732,0.0,-0.02197471047868051,-0.02812339975260822,1.2320377772653048,-0.05868172456139274,0.05102649545629067,0.0,424.72347636237527,425.0411586325528,423.80698566453736,422.3099853345137
0.6600000000000003,-0.005080921210599825,-0.005621192417206127,10.479654306097215,6.265434368641888,0.01380700184552186,0.0,-0.03035720326327576,-0.038718097385306564,1.3422658992298167,-0.07384612450787956,0.0370200777096522,0.0,442.0984859192204,440.9443415139964,442.4932056590936,441.24019894405563
0.7200000000000003,-0.007176904828318242,-0.008302578318031906,10.561818810525777,6.260865840376296,0.016292622122501932,0.0,-0.03973329585319002,-0.05108821934473776,1.3964739301196492,-0.08117941829610707,0.04903554818203182,0.0,423.6264805946718,424.65929777675564,424.1788709503941,423.5437932918877
0.7800000000000004,-0.009850709175776563,-0.01176670947035779,10.645150061485632,6.256620657837203,0.019329670104953678,0.0,-0.04964803290069494,-0.06476567146101636,1.3812387623353475,-0.05543363853452173,0.053606107918347995,0.0,401.03511192608124,401.4519369959724,399.12080896202315,401.45872041967726
0.8400000000000004,-0.013278030340427112,-0.016264230821725328,10.732864497395875,6.253407989348055,0.022409981439637683,0.0,-0.06494219915033213,-0.0855088323310474,1.542353695569128,-0.05001244561224955,0.04636858383293108,0.0,457.9004578107511,457.3259927192773,457.9498731369909,458.3790408780708
0.9000000000000005,-0.017636607153198265,-0.022005288961193248,10.827864383129027,6.250116041017179,0.025650928654440186,0.0,-0.08064359413128623,-0.10616636850253652,1.6241778537938256,-0.06696200997427434,0.06607047780070244,0.0,431.8612249919604,433.5216725737959,435.2688709784958,433.8459944931556
0.9600000000000005,-0.023059789606118965,-0.029124275606068572,10.92979380720512,6.245830177621027,0.029561490719868466,0.0,-0.10055390995432736,-0.13157698021719091,1.7732203318569089,-0.08233222186930955,0.06332523633408901,0.0,455.1035832020664,454.8868413213364,455.5802263417134,454.34580543951427
1.0200000000000005,-0.0296485605804819,-0.037720932832627015,11.03686338397623,6.241058771724511,0.03331028813484771,0.0,-0.1194128182645634,-0.15541585077187234,1.7956995015605468,-0.07442956443896401,0.060734265303492116,0.0,414.88309785638984,414.6586863667014,414.9211203271101,415.60869866864215
1.0800000000000005,-0.037461032694932235,-0.047862729071030403,11.14597436546945,6.237494557112608,0.037042102879843775,0.0,-0.14134754189248677,-0.1830084308185338,1.8412287014195527,-0.039518865198299204,0.06497129042022336,0.0,422.7940349331389,423.16190131761624,421.18321376265106,424.1884245320537
